حوزه شغلی,عنوان شغلی,شرکت,شهر,حقوق,برچسب‌های آگهی,نمره شرکت
علوم داده / هوش مصنوعی,مهندس داده,سامانه پردازان هوشمند کارا,تهران,توافقی / نامشخص,ندارد,نظری ثبت نشده است
تست نرم افزار,کارشناس تست نرم‌افزار,ژرف نوآوران فام سپهر,تهران,توافقی / نامشخص,ندارد,نظری ثبت نشده است
توسعه نرم افزار و برنامه نویسی,(Python) full- stack Developer,Dronnix,خارج کشور,60 - 70 میلیون تومان,امکان دورکاری,نظری ثبت نشده است
توسعه نرم افزار و برنامه نویسی,Senior Back-End Developer (Django),فناوری اطلاعات نیلوا,تهران,40 - 70 میلیون تومان,ندارد,نظری ثبت نشده است
توسعه نرم افزار و برنامه نویسی,Full Stack Developer,ایرانسل لبز,تهران,توافقی / نامشخص,ندارد,3.886219003730524
توسعه نرم افزار و برنامه نویسی,Technical Team Lead,فناوری اطلاعات نیلوا,تهران,70 - 100 میلیون تومان,ندارد,نظری ثبت نشده است
توسعه نرم افزار و برنامه نویسی,برنامه نویس توسعه نرم افزار,هوش یار سازان سیرجان,کرمان,توافقی / نامشخص,امکان دورکاری,نظری ثبت نشده است
توسعه نرم افزار و برنامه نویسی,برنامه‌نویس هوش مصنوعی,ترادید,تهران,50 - 70 میلیون تومان,ندارد,نظری ثبت نشده است
توسعه نرم افزار و برنامه نویسی,توسعه‌دهنده بک‌اند (Python & Django),اف ایکس پی,خارج کشور,45 - 50 میلیون تومان,امکان دورکاری,نظری ثبت نشده است
شبکه / DevOps / پشتیبانی سخت افزاری و نرم افزاری,مهندس ارشد DevOps - آقا,اندیشه یاوران تمدن امروز (ایتا),قم,توافقی / نامشخص,ندارد,نظری ثبت نشده است
توسعه نرم افزار و برنامه نویسی,برنامه نویس Back-End (Python) - خانم,امداد خودرو ایران دفتر دانشوری کد10010,تهران,30 - 31 میلیون تومان,ندارد,نظری ثبت نشده است
توسعه نرم افزار و برنامه نویسی,Python Developer,فیوتریکس(فناوری های پیشرفته هوش مصنوعی فرا نگار),کرج,20 - 25 میلیون تومان,ندارد,نظری ثبت نشده است
شبکه / DevOps / پشتیبانی سخت افزاری و نرم افزاری,کارشناس پایش و مانیتورینگ - آقا,شرکت خدمات انفورماتیک,تهران,توافقی / نامشخص,ندارد,3.837935477147342
علوم داده / هوش مصنوعی,مهندس ارشد هوش مصنوعی,شرکت داده و اعتبار سنجی تجارت ایرانیان (داتا),تهران,توافقی / نامشخص,ندارد,نظری ثبت نشده است
علوم داده / هوش مصنوعی,مهندس هوش مصنوعی,فن آوران آینده پرداز مورب(دیاگنالی),تهران,25 - 35 میلیون تومان,امکان دورکاری,نظری ثبت نشده است
مهندسی کشاورزی / علوم دامی,کارشناس سنجش از راه دور (حوزه کشاورزی),بوم نگاران هوشمند امید,تهران,توافقی / نامشخص,ندارد,نظری ثبت نشده است
فروش و بازاریابی - سطوح کارشناسی و مدیریتی,کارشناس فروش بین‌الملل,گروه کایا,تهران,25 - 35 میلیون تومان,امکان دورکاری,نظری ثبت نشده است
توسعه نرم افزار و برنامه نویسی,Site Reliability Engineer (SRE),زرینو,تهران,توافقی / نامشخص,ندارد,3.5033864283864284
علوم داده / هوش مصنوعی,متخصص هوش مصنوعی (مدل‌های زبانی بزرگ – LLM),شرکت داده پردازی پلتفورم پرایم,تهران,65 - 75 میلیون تومان,امکان دورکاری,نظری ثبت نشده است
توسعه نرم افزار و برنامه نویسی,Tech Lead,ملی‌گلد,تهران,توافقی / نامشخص,ندارد,4.068037300417018
توسعه نرم افزار و برنامه نویسی,Technical Team Lead,مشاوران ارزش سورین,تهران,100 - 200 میلیون تومان,ندارد,نظری ثبت نشده است
توسعه نرم افزار و برنامه نویسی,برنامه نویس Python,هوش آفرین,تهران,67 - 100 میلیون تومان,امکان دورکاری,نظری ثبت نشده است
علوم داده / هوش مصنوعی,Data Engineer,توسعه سامانه های نرم افزاری نگین - توسن,تهران,توافقی / نامشخص,ندارد,3.8616087544841546
توسعه نرم افزار و برنامه نویسی,استخدام Full-Stack Developer,اٌسکار,شیراز,80 - 100 میلیون تومان,ندارد,نظری ثبت نشده است
